Respondent_ID,Persona_Segment,Q1_Age_Group,Q2_City_Type,Q3_Occupation,Q4_Monthly_Income_INR,Q5_Exercise_Frequency,Q6_Workout_Location,Q7_Primary_Fitness_Goal,Q8_Biggest_Fitness_Challenge,Q9_Diet_Type,Q10_Dietary_Restrictions_Allergies,Q11_Meal_Management,Q12_Biggest_Diet_Challenge,Q13_Travel_Frequency,Q14_Daily_Routine,Q15_Time_Available_for_Fitness,Q16_Current_Fitness_App_User,Q17_Preferred_App_Features,Q18_Willingness_to_Pay_Monthly,Q19_What_Would_Make_You_Pay,Q20_Likelihood_to_Use_App,Q21_Current_Weight_Category,Q22_Problem_Impact_Score_1_to_5,Q23_Days_Followed_Plan_in_Last_30_Days,Q24_When_You_Stop_Following_Routine,Q25_Why_Stopped_Using_Fitness_Apps,Q26_If_Guaranteed_Results_3_Months_How_Much_Pay,Q27_Primary_Motivation_to_Stay_Fit,Q28_Level_of_Control_Over_Daily_Meals
931,student_hostel,18-24,Tier 2,Student,"20,000-50,000",Never,I don't work out,Weight loss,Lack of motivation,Vegetarian,None,Hostel/mess food,Budget constraints,Rarely,Very structured,<30 mins,No,"Travel-friendly plans, AI workout plan, Calorie tracking via photo",₹199-₹499,"Proven results, Expert guidance",Neutral,Underweight,5,6-10,Social events,Never used any,₹499,Looking good (aesthetics),Very limited control (hostel/mess)
932,family_health_seeker,45-54,Tier 3 / Rural,Homemaker,"20,000-50,000",Never,I don't work out,General fitness,No access to gym,Eggetarian,None,Home-cooked,Cravings,Rarely,Very structured,30-60 mins,Yes,"Calorie tracking via photo, Diet planning, Allergy-specific diets",₹499-₹999,"Convenience, Expert guidance",Neutral,Obese,5,20+,Busy schedule,Too expensive,₹2000+,Performance/strength,Full control (cook myself)
933,older_active,55+,Tier 1,Business Owner,"50,000-1,00,000",3-4 times/week,Home,Weight loss,Lack of motivation,Eggetarian,None,Order food frequently,No time to cook,Rarely,Somewhat structured,30-60 mins,No,"Diet planning, Calorie tracking via photo",₹499-₹999,"Convenience, Expert guidance, Personalization",Unlikely,Overweight,4,11-20,Lack of motivation,Never used any,₹2000+,Health concerns,Full control (cook myself)
934,gym_enthusiast,25-34,Tier 2,Student,"20,000-50,000",5+ times/week,Home,General fitness,No proper diet,Vegetarian,None,Home-cooked,Lack of consistency,Rarely,Somewhat structured,90+ mins,Yes,,₹499-₹999,"Expert guidance, Proven results",Very unlikely,Normal,2,6-10,Lack of motivation,Lost motivation,₹499,Performance/strength,Very limited control (hostel/mess)
935,student_hostel,18-24,Metro,Student,"<20,000",1-2 times/week,Gym,Not sure,No proper diet,Eggetarian,None,Home-cooked,Lack of consistency,Rarely,Somewhat structured,<30 mins,Yes,"Calorie tracking via photo, AI workout plan, Diet planning",₹99-₹199,"Personalization, Proven results, All-in-one solution",Very likely,Underweight,4,11-20,Busy schedule,Not personalized,₹499,Performance/strength,Very limited control (hostel/mess)
936,young_professional,25-34,Metro,Working Professional,"20,000-50,000",3-4 times/week,Home,Weight loss,Lack of time,Vegetarian,Nut allergies,Order food frequently,No time to cook,Frequently,Somewhat structured,90+ mins,Yes,"Diet planning, Form correction via video, Travel-friendly plans",₹199-₹499,"Proven results, Convenience, All-in-one solution",Unlikely,Normal,2,6-10,Busy schedule,Lost motivation,₹999,Looking good (aesthetics),Full control (cook myself)
937,student_hostel,25-34,Tier 1,Student,"20,000-50,000",1-2 times/week,Gym,Not sure,Lack of time,Non-vegetarian,None,Home-cooked,Lack of consistency,Rarely,Highly unpredictable,60-90 mins,No,"Diet planning, AI workout plan, Calorie tracking via photo",₹99-₹199,"Convenience, All-in-one solution, Proven results",Unlikely,Overweight,3,6-10,Social events,Never used any,₹199,Mental well-being,Very limited control (hostel/mess)
938,older_active,45-54,Tier 2,Homemaker,"50,000-1,00,000",Never,I don't work out,Medical/rehabilitation,Lack of knowledge,Eggetarian,Lactose intolerance,,Cravings,Rarely,Very structured,<30 mins,No,"AI workout plan, Allergy-specific diets",₹199-₹499,"Convenience, Expert guidance",Very unlikely,Underweight,3,6-10,Don't see results,Never used any,₹999,Health concerns,Full control (cook myself)
939,student_hostel,18-24,Metro,Student,"<20,000",1-2 times/week,Gym,Not sure,Lack of time,Non-vegetarian,None,Home-cooked,Cravings,,Somewhat structured,30-60 mins,No,"Travel-friendly plans, Calorie tracking via photo, Diet planning",₹99-₹199,"All-in-one solution, Expert guidance, Proven results",Neutral,Obese,3,6-10,Social events,Never used any,₹199,Looking good (aesthetics),Full control (cook myself)
940,gym_enthusiast,25-34,Tier 1,Working Professional,"50,000-1,00,000",3-4 times/week,Home,Muscle gain,Lack of motivation,Vegan,Other,Home-cooked,Lack of consistency,Rarely,Very structured,60-90 mins,Yes,"Diet planning, Calorie tracking via photo, Form correction via video",₹499-₹999,"Personalization, Convenience",Neutral,Overweight,1,20+,Lack of motivation,Lost motivation,₹2000+,Performance/strength,Very limited control (hostel/mess)
941,young_professional,18-24,Tier 2,Working Professional,"20,000-50,000",3-4 times/week,Gym,Muscle gain,Lack of knowledge,Vegan,Nut allergies,Mix of both,Cravings,Rarely,Somewhat structured,60-90 mins,No,"Allergy-specific diets, Form correction via video, Calorie tracking via photo",₹199-₹499,"Convenience, Personalization, All-in-one solution",Likely,Normal,4,0-5,Social events,Never used any,₹999,Performance/strength,Partial control
942,gym_enthusiast,25-34,Metro,Working Professional,"50,000-1,00,000",3-4 times/week,Home,Muscle gain,No proper diet,Non-vegetarian,None,Mix of both,Don't know what to eat,Occasionally,Somewhat structured,30-60 mins,No,"Calorie tracking via photo, Form correction via video",₹499-₹999,"Proven results, All-in-one solution, Convenience",Neutral,Normal,4,11-20,Busy schedule,Never used any,₹2000+,Performance/strength,Very limited control (hostel/mess)
943,busy_traveler,25-34,Metro,Working Professional,"50,000-1,00,000",Never,I don't work out,Weight loss,Lack of time,Non-vegetarian,None,Order food frequently,Lack of consistency,Frequently,Highly unpredictable,30-60 mins,Yes,"Calorie tracking via photo, Form correction via video, AI workout plan",₹499-₹999,Proven results,Very likely,Overweight,5,11-20,Travel,No results,₹2000+,Mental well-being,Full control (cook myself)
944,family_health_seeker,45-54,Tier 1,Working Professional,"20,000-50,000",1-2 times/week,Home,Muscle gain,Lack of motivation,Non-vegetarian,Lactose intolerance,Home-cooked,Lack of consistency,Rarely,Somewhat structured,<30 mins,Yes,Allergy-specific diets,₹499-₹999,"Proven results, Expert guidance",Likely,Overweight,4,0-5,Busy schedule,Too expensive,₹2000+,Health concerns,Full control (cook myself)
945,student_hostel,25-34,Tier 1,Working Professional,"<20,000",5+ times/week,Home,Muscle gain,Lack of motivation,Vegetarian,None,Hostel/mess food,Cravings,Rarely,Highly unpredictable,<30 mins,No,"Allergy-specific diets, Calorie tracking via photo, AI workout plan",₹99-₹199,"All-in-one solution, Convenience",Very unlikely,Overweight,1,0-5,Don't see results,Never used any,₹499,Health concerns,Very limited control (hostel/mess)
946,student_hostel,Under 18,Tier 3 / Rural,Working Professional,"<20,000",5+ times/week,Outdoors,Muscle gain,Lack of knowledge,Vegan,None,Order food frequently,Lack of consistency,Rarely,Highly unpredictable,30-60 mins,No,Travel-friendly plans,₹199-₹499,Proven results,Likely,Normal,3,6-10,Don't see results,Never used any,₹499,Mental well-being,Very limited control (hostel/mess)
947,student_hostel,18-24,Tier 3 / Rural,Student,"<20,000",5+ times/week,Gym,Muscle gain,Lack of motivation,Non-vegetarian,None,Hostel/mess food,Budget constraints,Rarely,Highly unpredictable,30-60 mins,Yes,"AI workout plan, Form correction via video, Calorie tracking via photo",₹199-₹499,"Proven results, All-in-one solution",Neutral,Underweight,3,0-5,Never started properly,Too complicated,₹499,Health concerns,Very limited control (hostel/mess)
948,older_active,35-44,Metro,Working Professional,"20,000-50,000",1-2 times/week,Home,General fitness,Lack of time,Vegetarian,None,Home-cooked,Cravings,Frequently,Highly unpredictable,30-60 mins,No,Allergy-specific diets,₹199-₹499,"Expert guidance, Proven results",Likely,Normal,5,11-20,Don't see results,Never used any,₹499,Health concerns,Full control (cook myself)
949,family_health_seeker,35-44,Tier 3 / Rural,Homemaker,"20,000-50,000",3-4 times/week,Gym,Weight loss,Lack of knowledge,Non-vegetarian,None,Home-cooked,Lack of consistency,Occasionally,Somewhat structured,30-60 mins,No,"Form correction via video, Diet planning",₹499-₹999,"Proven results, Expert guidance",Neutral,Overweight,3,11-20,Don't see results,Never used any,₹2000+,Mental well-being,Full control (cook myself)
950,gym_enthusiast,35-44,Metro,Working Professional,"20,000-50,000",1-2 times/week,Gym,General fitness,No access to gym,Non-vegetarian,None,Mix of both,No time to cook,Occasionally,Somewhat structured,60-90 mins,Yes,"AI workout plan, Form correction via video",₹199-₹499,"Proven results, Personalization",Neutral,Overweight,4,0-5,Lack of motivation,Not personalized,₹999,Looking good (aesthetics),Partial control
951,gym_enthusiast,35-44,Tier 3 / Rural,Working Professional,"20,000-50,000",5+ times/week,Gym,Muscle gain,No proper diet,Non-vegetarian,None,Home-cooked,Lack of consistency,Frequently,Somewhat structured,30-60 mins,Yes,"Form correction via video, Calorie tracking via photo, AI workout plan",₹499-₹999,,Very likely,Overweight,5,11-20,Busy schedule,Too complicated,₹2000+,Social pressure,Full control (cook myself)
952,busy_traveler,25-34,Metro,Working Professional,"50,000-1,00,000",3-4 times/week,Outdoors,General fitness,No proper diet,Non-vegetarian,None,Mix of both,Cravings,Rarely,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, Form correction via video",₹999+,"Expert guidance, All-in-one solution, Personalization",Very likely,Overweight,5,0-5,Busy schedule,Lost motivation,₹2000+,Looking good (aesthetics),Very limited control (hostel/mess)
953,student_hostel,18-24,Metro,Student,"20,000-50,000",3-4 times/week,Gym,Muscle gain,Lack of knowledge,Vegan,None,Mix of both,Don't know what to eat,Rarely,Somewhat structured,30-60 mins,No,"Diet planning, Calorie tracking via photo, Form correction via video",₹999+,"Personalization, Proven results",Likely,Overweight,5,20+,Busy schedule,Never used any,₹2000+,Looking good (aesthetics),Partial control
954,older_active,35-44,Tier 3 / Rural,Retired,"<20,000",Never,I don't work out,Medical/rehabilitation,No proper diet,Vegetarian,None,Mix of both,Budget constraints,Rarely,Highly unpredictable,<30 mins,Yes,"Allergy-specific diets, AI workout plan, Calorie tracking via photo",₹99-₹199,Convenience,Very unlikely,Overweight,2,20+,Social events,Lost motivation,₹499,Health concerns,Full control (cook myself)
955,young_professional,25-34,Metro,Working Professional,"20,000-50,000",Never,I don't work out,General fitness,No access to gym,Non-vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Highly unpredictable,30-60 mins,No,Diet planning,₹499-₹999,"Expert guidance, Proven results",Unlikely,Normal,3,0-5,Don't see results,Never used any,₹2000+,Looking good (aesthetics),Partial control
956,young_professional,25-34,Tier 1,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Somewhat structured,30-60 mins,No,"Form correction via video, AI workout plan, Calorie tracking via photo",₹999+,"Personalization, Convenience, Expert guidance",Unlikely,Normal,3,11-20,Never started properly,Never used any,₹2000+,Mental well-being,Partial control
957,gym_enthusiast,25-34,Tier 2,Working Professional,"1,00,000-2,00,000",5+ times/week,Gym,Muscle gain,No proper diet,Non-vegetarian,None,Home-cooked,Lack of consistency,Occasionally,Very structured,60-90 mins,Yes,"AI workout plan, Form correction via video, Calorie tracking via photo",₹999+,"Expert guidance, Personalization",Neutral,Overweight,1,6-10,Busy schedule,Too complicated,₹2000+,Performance/strength,Very limited control (hostel/mess)
958,student_hostel,18-24,Metro,Student,"20,000-50,000",3-4 times/week,Home,General fitness,No proper diet,Non-vegetarian,Other,Mix of both,No time to cook,Rarely,Highly unpredictable,<30 mins,No,"Allergy-specific diets, AI workout plan",₹199-₹499,"Proven results, Personalization, All-in-one solution",Likely,Normal,5,11-20,Lack of motivation,Never used any,₹499,Mental well-being,Very limited control (hostel/mess)
959,student_hostel,18-24,Tier 2,Student,"<20,000",1-2 times/week,Gym,Not sure,No access to gym,Eggetarian,None,Order food frequently,Budget constraints,Occasionally,Somewhat structured,<30 mins,Yes,"Calorie tracking via photo, Form correction via video, Diet planning",₹499-₹999,Personalization,Neutral,Normal,1,0-5,Never started properly,Not personalized,₹199,Performance/strength,Very limited control (hostel/mess)
960,busy_traveler,35-44,Metro,Working Professional,"50,000-1,00,000",Never,I don't work out,Weight loss,No proper diet,Eggetarian,None,Order food frequently,Cravings,Rarely,Highly unpredictable,30-60 mins,No,"Travel-friendly plans, AI workout plan, Diet planning",₹199-₹499,Proven results,Neutral,Obese,3,6-10,Travel,Never used any,₹999,Mental well-being,Very limited control (hostel/mess)
961,student_hostel,18-24,Tier 1,Student,"<20,000",3-4 times/week,Gym,General fitness,Lack of time,Non-vegetarian,None,Hostel/mess food,Lack of consistency,Occasionally,Highly unpredictable,<30 mins,No,"Calorie tracking via photo, Diet planning, Form correction via video",₹199-₹499,"Convenience, Expert guidance, Proven results",Very unlikely,Normal,2,11-20,Busy schedule,Never used any,₹999,Looking good (aesthetics),Very limited control (hostel/mess)
962,gym_enthusiast,18-24,Metro,Working Professional,"20,000-50,000",Never,I don't work out,Muscle gain,No proper diet,Eggetarian,None,Mix of both,Cravings,Frequently,Somewhat structured,30-60 mins,Yes,"Form correction via video, Travel-friendly plans, AI workout plan",₹499-₹999,"Proven results, All-in-one solution, Personalization",Neutral,Overweight,5,20+,Lack of motivation,No results,₹2000+,Looking good (aesthetics),Full control (cook myself)
963,young_professional,35-44,Metro,Working Professional,"20,000-50,000",1-2 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Mix of both,Lack of consistency,Occasionally,Somewhat structured,60-90 mins,Yes,"Travel-friendly plans, AI workout plan",₹499-₹999,"Personalization, Proven results, Convenience",Neutral,Normal,4,11-20,Busy schedule,Not personalized,₹999,Mental well-being,Partial control
964,young_professional,45-54,Tier 1,Working Professional,"1,00,000-2,00,000",3-4 times/week,Gym,Muscle gain,Lack of time,Eggetarian,None,Mix of both,No time to cook,Frequently,Somewhat structured,<30 mins,Yes,"Diet planning, Form correction via video",₹999+,Proven results,Neutral,Overweight,3,11-20,Busy schedule,Too complicated,₹2000+,Performance/strength,Partial control
965,young_professional,25-34,Tier 1,Working Professional,"50,000-1,00,000",3-4 times/week,Home,Medical/rehabilitation,No proper diet,Eggetarian,,Order food frequently,Cravings,Frequently,Somewhat structured,30-60 mins,No,"Travel-friendly plans, Diet planning",₹999+,"Convenience, All-in-one solution, Personalization",Neutral,Normal,2,11-20,Busy schedule,Never used any,₹2000+,Health concerns,Very limited control (hostel/mess)
966,young_professional,25-34,Metro,Working Professional,"<20,000",5+ times/week,Home,General fitness,No access to gym,Non-vegetarian,None,Mix of both,No time to cook,Rarely,Somewhat structured,30-60 mins,Yes,Form correction via video,₹199-₹499,"All-in-one solution, Convenience, Proven results",Neutral,Normal,3,11-20,Busy schedule,Not personalized,₹999,Social pressure,Full control (cook myself)
967,busy_traveler,25-34,Metro,Working Professional,"1,00,000-2,00,000",1-2 times/week,Home,Weight loss,Lack of time,Vegetarian,None,Home-cooked,No time to cook,Frequently,Highly unpredictable,<30 mins,Yes,AI workout plan,₹999+,"Personalization, Proven results, All-in-one solution",Neutral,Overweight,4,0-5,Travel,Too expensive,₹2000+,Health concerns,Partial control
968,young_professional,25-34,Metro,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,General fitness,Lack of motivation,Eggetarian,None,Hostel/mess food,Lack of consistency,Occasionally,Highly unpredictable,60-90 mins,No,"Form correction via video, Calorie tracking via photo",₹499-₹999,"Personalization, Convenience, Proven results",Very unlikely,Overweight,3,20+,Lack of motivation,Never used any,₹2000+,Mental well-being,Full control (cook myself)
969,gym_enthusiast,25-34,Tier 2,Working Professional,"2,00,000+",5+ times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Home-cooked,Cravings,Occasionally,Highly unpredictable,<30 mins,No,"AI workout plan, Form correction via video, Calorie tracking via photo",₹999+,"Expert guidance, Convenience",Neutral,Overweight,2,11-20,Don't see results,Never used any,₹2000+,Performance/strength,Full control (cook myself)
970,young_professional,25-34,Metro,Working Professional,"20,000-50,000",3-4 times/week,Home,Weight loss,Lack of time,Eggetarian,None,Order food frequently,No time to cook,Occasionally,Somewhat structured,30-60 mins,Yes,"AI workout plan, Diet planning",₹199-₹499,"All-in-one solution, Proven results",Neutral,Overweight,3,6-10,Busy schedule,Too expensive,₹999,Performance/strength,Full control (cook myself)
971,busy_traveler,25-34,Tier 1,Retired,"50,000-1,00,000",Never,I don't work out,Weight loss,Lack of knowledge,Non-vegetarian,None,Home-cooked,Cravings,Frequently,Highly unpredictable,<30 mins,No,"AI workout plan, Form correction via video, Diet planning",₹499-₹999,"Convenience, Proven results",Neutral,Overweight,4,20+,Don't see results,Never used any,₹2000+,Health concerns,Very limited control (hostel/mess)
972,older_active,55+,Metro,Retired,"<20,000",1-2 times/week,Home,Medical/rehabilitation,No proper diet,Non-vegetarian,Lactose intolerance,Order food frequently,Budget constraints,Rarely,Highly unpredictable,<30 mins,No,"Diet planning, Form correction via video",₹199-₹499,"Proven results, All-in-one solution, Expert guidance",Unlikely,Underweight,4,0-5,Lack of motivation,Never used any,₹999,Health concerns,Full control (cook myself)
973,busy_traveler,25-34,Tier 1,Working Professional,"2,00,000+",Never,I don't work out,Muscle gain,Lack of time,Vegan,,Mix of both,Don't know what to eat,Frequently,Somewhat structured,60-90 mins,Yes,"AI workout plan, Diet planning",₹999+,"Personalization, Expert guidance",Neutral,Overweight,3,11-20,Travel,Too complicated,₹2000+,Health concerns,Partial control
974,student_hostel,18-24,Tier 3 / Rural,Student,"<20,000",1-2 times/week,Gym,Muscle gain,Lack of knowledge,Eggetarian,None,Mix of both,Lack of consistency,Occasionally,Very structured,30-60 mins,No,"Calorie tracking via photo, Diet planning, Travel-friendly plans",₹199-₹499,"All-in-one solution, Proven results, Expert guidance",Very unlikely,Underweight,2,0-5,Social events,Never used any,₹499,Looking good (aesthetics),Very limited control (hostel/mess)
975,student_hostel,18-24,Metro,Student,"<20,000",Never,I don't work out,General fitness,No proper diet,Vegan,None,Hostel/mess food,No time to cook,Rarely,Very structured,<30 mins,Yes,"AI workout plan, Diet planning, Calorie tracking via photo",₹199-₹499,Personalization,Neutral,Underweight,3,6-10,Lack of motivation,Too complicated,₹499,Looking good (aesthetics),Very limited control (hostel/mess)
976,young_professional,18-24,Tier 3 / Rural,Working Professional,"50,000-1,00,000",Never,I don't work out,Weight loss,Lack of knowledge,Non-vegetarian,None,Mix of both,Lack of consistency,Rarely,Somewhat structured,30-60 mins,Yes,"Form correction via video, AI workout plan, Diet planning",₹199-₹499,"All-in-one solution, Convenience, Expert guidance",Neutral,Overweight,2,11-20,Don't see results,Not personalized,₹999,Health concerns,Full control (cook myself)
977,gym_enthusiast,18-24,Metro,Working Professional,"50,000-1,00,000",5+ times/week,Gym,Muscle gain,Lack of motivation,Non-vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Very structured,60-90 mins,Yes,AI workout plan,₹999+,"Personalization, Proven results, Expert guidance",Likely,Normal,5,11-20,Busy schedule,Too complicated,₹2000+,Performance/strength,Partial control
978,student_hostel,18-24,Tier 2,Student,"20,000-50,000",Never,I don't work out,Weight loss,Lack of motivation,Eggetarian,None,Hostel/mess food,Cravings,Rarely,Very structured,30-60 mins,No,"Diet planning, Form correction via video, Calorie tracking via photo",₹199-₹499,Expert guidance,Neutral,Underweight,5,20+,Lack of motivation,Never used any,₹499,Social pressure,Very limited control (hostel/mess)
979,gym_enthusiast,35-44,Metro,Working Professional,"20,000-50,000",1-2 times/week,Gym,Weight loss,Lack of motivation,Non-vegetarian,None,,Lack of consistency,Occasionally,Somewhat structured,30-60 mins,No,"AI workout plan, Form correction via video, Calorie tracking via photo",₹99-₹199,"Convenience, All-in-one solution, Personalization",Neutral,Obese,3,11-20,Lack of motivation,Never used any,₹199,Mental well-being,Partial control
980,gym_enthusiast,35-44,Metro,Student,"50,000-1,00,000",3-4 times/week,Gym,Muscle gain,Lack of time,Eggetarian,None,Home-cooked,Lack of consistency,Occasionally,Somewhat structured,60-90 mins,Yes,"Calorie tracking via photo, Form correction via video, Diet planning",₹499-₹999,Expert guidance,Likely,Overweight,3,6-10,Social events,Lost motivation,₹999,Health concerns,Full control (cook myself)
981,young_professional,25-34,Tier 1,Working Professional,"20,000-50,000",3-4 times/week,Gym,General fitness,Lack of time,Vegetarian,Lactose intolerance,Mix of both,Lack of consistency,Rarely,Somewhat structured,30-60 mins,No,"Diet planning, Form correction via video",₹99-₹199,"All-in-one solution, Convenience",Neutral,Obese,5,0-5,Lack of motivation,Never used any,₹499,Mental well-being,Full control (cook myself)
982,family_health_seeker,25-34,Metro,Retired,"20,000-50,000",1-2 times/week,Outdoors,General fitness,Lack of time,Non-vegetarian,None,Home-cooked,Cravings,Rarely,Somewhat structured,30-60 mins,Yes,"Travel-friendly plans, Diet planning",₹499-₹999,"Expert guidance, All-in-one solution, Personalization",Unlikely,Overweight,2,6-10,Social events,Not personalized,₹2000+,Mental well-being,Full control (cook myself)
983,student_hostel,25-34,Tier 2,Student,"<20,000",5+ times/week,Home,Not sure,No proper diet,Non-vegetarian,,Mix of both,No time to cook,Rarely,Very structured,30-60 mins,No,"Travel-friendly plans, Diet planning",₹99-₹199,"Convenience, Personalization, All-in-one solution",Very unlikely,Normal,1,0-5,Social events,Never used any,₹199,Health concerns,Partial control
984,student_hostel,18-24,Tier 2,Student,"50,000-1,00,000",3-4 times/week,Home,Weight loss,Lack of motivation,Eggetarian,None,Hostel/mess food,Budget constraints,Rarely,Highly unpredictable,<30 mins,No,AI workout plan,₹199-₹499,"Proven results, All-in-one solution",Likely,Obese,5,11-20,Lack of motivation,Never used any,₹499,Performance/strength,Very limited control (hostel/mess)
985,busy_traveler,25-34,Tier 2,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,General fitness,Lack of time,Vegetarian,None,Home-cooked,Lack of consistency,Occasionally,Highly unpredictable,30-60 mins,No,"Travel-friendly plans, Form correction via video",₹999+,"Convenience, All-in-one solution",Neutral,Overweight,5,0-5,Social events,,₹2000+,Looking good (aesthetics),Very limited control (hostel/mess)
986,gym_enthusiast,45-54,Metro,Working Professional,"50,000-1,00,000",5+ times/week,Gym,Not sure,Lack of motivation,Non-vegetarian,None,Mix of both,Lack of consistency,Occasionally,Somewhat structured,30-60 mins,Yes,"AI workout plan, Travel-friendly plans, Form correction via video",₹499-₹999,"Proven results, Personalization, Convenience",Likely,Overweight,3,20+,Lack of motivation,Not personalized,₹2000+,Performance/strength,Partial control
987,busy_traveler,25-34,Metro,Working Professional,"1,00,000-2,00,000",3-4 times/week,Outdoors,Not sure,Lack of time,Non-vegetarian,Nut allergies,Mix of both,No time to cook,Frequently,Highly unpredictable,60-90 mins,Yes,"Travel-friendly plans, Allergy-specific diets",₹999+,"Personalization, All-in-one solution",Neutral,Obese,5,0-5,Don't see results,Too expensive,₹2000+,Looking good (aesthetics),Partial control
988,young_professional,18-24,Metro,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,General fitness,No access to gym,Vegetarian,None,Home-cooked,Lack of consistency,Rarely,Highly unpredictable,30-60 mins,Yes,"Form correction via video, Calorie tracking via photo, AI workout plan",₹499-₹999,All-in-one solution,Likely,Overweight,4,20+,Busy schedule,Too complicated,₹2000+,Performance/strength,Partial control
989,young_professional,25-34,Tier 2,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,General fitness,Lack of time,Non-vegetarian,Gluten intolerance,Hostel/mess food,Cravings,Frequently,Highly unpredictable,30-60 mins,Yes,"Form correction via video, Allergy-specific diets",₹999+,"Personalization, Expert guidance, Proven results",Very likely,Obese,5,6-10,Travel,Too complicated,₹2000+,Mental well-being,Partial control
990,family_health_seeker,35-44,Metro,Working Professional,"<20,000",Never,I don't work out,Muscle gain,No proper diet,Vegetarian,None,Mix of both,Don't know what to eat,Occasionally,Very structured,<30 mins,No,"Diet planning, Calorie tracking via photo, Allergy-specific diets",₹999+,"Personalization, Proven results",Neutral,Normal,5,0-5,Social events,Never used any,₹999,Social pressure,Full control (cook myself)
991,family_health_seeker,35-44,Metro,Homemaker,"20,000-50,000",5+ times/week,Home,Weight loss,Lack of time,Non-vegetarian,None,Home-cooked,Budget constraints,Rarely,Somewhat structured,<30 mins,No,"Calorie tracking via photo, Allergy-specific diets",₹499-₹999,"Expert guidance, Proven results, All-in-one solution",Unlikely,Normal,4,6-10,Busy schedule,Never used any,₹999,Mental well-being,Partial control
992,busy_traveler,18-24,Metro,Working Professional,"50,000-1,00,000",Never,Gym,Muscle gain,Lack of time,Vegetarian,None,Order food frequently,Cravings,Frequently,Highly unpredictable,<30 mins,No,"Form correction via video, AI workout plan, Travel-friendly plans",₹999+,"Convenience, All-in-one solution",Neutral,Obese,4,0-5,Never started properly,Never used any,₹2000+,Performance/strength,Partial control
993,young_professional,35-44,Metro,Working Professional,"20,000-50,000",3-4 times/week,Outdoors,Muscle gain,Lack of time,Non-vegetarian,None,Home-cooked,Budget constraints,Occasionally,Highly unpredictable,30-60 mins,Yes,"AI workout plan, Form correction via video",₹499-₹999,"Convenience, Expert guidance",Very unlikely,Overweight,1,6-10,Travel,Too complicated,₹2000+,Looking good (aesthetics),Full control (cook myself)
994,gym_enthusiast,45-54,Tier 1,Working Professional,"1,00,000-2,00,000",5+ times/week,Outdoors,General fitness,Lack of time,Non-vegetarian,None,Mix of both,Lack of consistency,Frequently,Somewhat structured,30-60 mins,Yes,"Diet planning, Travel-friendly plans, Form correction via video",₹999+,"Expert guidance, All-in-one solution, Proven results",Neutral,Underweight,5,20+,Never started properly,Not personalized,₹2000+,Looking good (aesthetics),Partial control
995,young_professional,18-24,Tier 1,Working Professional,"20,000-50,000",3-4 times/week,Gym,General fitness,Lack of time,Non-vegetarian,Nut allergies,Mix of both,Don't know what to eat,Rarely,Very structured,30-60 mins,Yes,"Form correction via video, Allergy-specific diets, AI workout plan",₹499-₹999,All-in-one solution,Likely,Overweight,5,0-5,Busy schedule,Too expensive,₹2000+,Performance/strength,Partial control
996,student_hostel,18-24,Tier 3 / Rural,Student,"1,00,000-2,00,000",1-2 times/week,Gym,Muscle gain,No access to gym,Non-vegetarian,None,Order food frequently,Budget constraints,Rarely,Highly unpredictable,60-90 mins,No,"Travel-friendly plans, Diet planning, Calorie tracking via photo",₹999+,Expert guidance,Neutral,Normal,4,0-5,Never started properly,Never used any,₹2000+,Looking good (aesthetics),Very limited control (hostel/mess)
997,older_active,45-54,Metro,Homemaker,"<20,000",1-2 times/week,Home,General fitness,Lack of time,Non-vegetarian,None,Mix of both,Lack of consistency,Rarely,Somewhat structured,<30 mins,No,"Calorie tracking via photo, Travel-friendly plans, Allergy-specific diets",₹199-₹499,"Expert guidance, Personalization",Neutral,Overweight,4,6-10,Never started properly,Never used any,₹999,Health concerns,Partial control
998,student_hostel,18-24,Metro,Student,"20,000-50,000",1-2 times/week,Home,Weight loss,No proper diet,Eggetarian,None,Home-cooked,Budget constraints,Rarely,Highly unpredictable,<30 mins,Yes,"Travel-friendly plans, Diet planning, AI workout plan",₹199-₹499,"All-in-one solution, Proven results, Convenience",Unlikely,Normal,3,0-5,Never started properly,Not personalized,₹999,Performance/strength,Very limited control (hostel/mess)
999,older_active,45-54,Tier 2,Homemaker,"50,000-1,00,000",1-2 times/week,Home,Medical/rehabilitation,Lack of time,Vegetarian,None,Home-cooked,Lack of consistency,Occasionally,Very structured,30-60 mins,No,"Allergy-specific diets, AI workout plan, Travel-friendly plans",₹499-₹999,"Expert guidance, Personalization, Proven results",Very unlikely,Overweight,2,20+,Lack of motivation,Never used any,₹999,Health concerns,Full control (cook myself)
