Respondent_ID,Persona_Segment,Q1_Age_Group,Q2_City_Type,Q3_Occupation,Q4_Monthly_Income_INR,Q5_Exercise_Frequency,Q6_Workout_Location,Q7_Primary_Fitness_Goal,Q8_Biggest_Fitness_Challenge,Q9_Diet_Type,Q10_Dietary_Restrictions_Allergies,Q11_Meal_Management,Q12_Biggest_Diet_Challenge,Q13_Travel_Frequency,Q14_Daily_Routine,Q15_Time_Available_for_Fitness,Q16_Current_Fitness_App_User,Q17_Preferred_App_Features,Q18_Willingness_to_Pay_Monthly,Q19_What_Would_Make_You_Pay,Q20_Likelihood_to_Use_App,Q21_Current_Weight_Category,Q22_Problem_Impact_Score_1_to_5,Q23_Days_Followed_Plan_in_Last_30_Days,Q24_When_You_Stop_Following_Routine,Q25_Why_Stopped_Using_Fitness_Apps,Q26_If_Guaranteed_Results_3_Months_How_Much_Pay,Q27_Primary_Motivation_to_Stay_Fit,Q28_Level_of_Control_Over_Daily_Meals,Q4_Monthly_Income_INR_Code,Q5_Exercise_Frequency_Code,Q13_Travel_Frequency_Code,Q14_Daily_Routine_Code,Q15_Time_Available_for_Fitness_Code,Q18_Willingness_to_Pay_Monthly_Code,Q20_Likelihood_to_Use_App_Code,Q23_Days_Followed_Plan_in_Last_30_Days_Code,Q26_If_Guaranteed_Results_3_Months_How_Much_Pay_Code,Feat_AI_workout_plan,Feat_Form_correction_via_video,Feat_Diet_planning,Feat_Calorie_tracking_via_photo,Feat_Travel_friendly_plans,Feat_Allergy_specific_diets,PayReason_Proven_results,PayReason_Personalization,PayReason_Expert_guidance,PayReason_Convenience,PayReason_All_in_one_solution
1035,student_hostel,18-24,Tier 2,Working Professional,"50,000-1,00,000",1-2 times/week,Home,General fitness,No access to gym,Non-vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Highly unpredictable,<30 mins,No,Diet planning,₹199-₹499,,Very unlikely,Underweight,3,6-10,Lack of motivation,Never used any,₹499,Health concerns,Very limited control (hostel/mess),2,1,0.0,2,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0
1036,busy_traveler,25-34,Metro,Working Professional,"50,000-1,00,000",1-2 times/week,Home,Weight loss,Lack of motivation,Non-vegetarian,None,Order food frequently,Lack of consistency,Frequently,Highly unpredictable,<30 mins,Yes,"Form correction via video, Diet planning, Travel-friendly plans",₹499-₹999,"Proven results, Personalization, Convenience",Neutral,Obese,4,0-5,Social events,Not personalized,₹2000+,Performance/strength,Partial control,2,1,2.0,2,0,3,2,0,4,0,1,1,0,1,0,1,1,0,1,0
1037,young_professional,25-34,Metro,Working Professional,"50,000-1,00,000",5+ times/week,Outdoors,Not sure,Lack of time,Vegan,None,Mix of both,Budget constraints,Occasionally,Very structured,<30 mins,No,AI workout plan,₹499-₹999,"All-in-one solution, Personalization, Proven results",Unlikely,Obese,3,0-5,Busy schedule,Never used any,₹2000+,Looking good (aesthetics),Full control (cook myself),2,3,1.0,0,0,3,1,0,4,1,0,0,0,0,0,1,1,0,0,1
1038,busy_traveler,55+,Metro,Working Professional,"2,00,000+",5+ times/week,Outdoors,General fitness,Lack of time,Non-vegetarian,None,Mix of both,Cravings,Frequently,Highly unpredictable,<30 mins,Yes,"Calorie tracking via photo, Diet planning",₹499-₹999,"Proven results, All-in-one solution",Neutral,Normal,3,0-5,Travel,Too expensive,₹2000+,Mental well-being,Full control (cook myself),4,3,2.0,2,0,3,2,0,4,0,0,1,1,0,0,1,0,0,0,1
1039,student_hostel,18-24,Tier 3 / Rural,Student,"<20,000",1-2 times/week,Gym,Muscle gain,No proper diet,Vegetarian,None,Order food frequently,Cravings,Rarely,Highly unpredictable,<30 mins,No,Form correction via video,₹99-₹199,"Proven results, All-in-one solution",Very unlikely,Normal,2,11-20,Don't see results,Never used any,₹499,Mental well-being,Very limited control (hostel/mess),0,1,0.0,2,0,1,0,2,2,0,1,0,0,0,0,1,0,0,0,1
1040,young_professional,45-54,Tier 1,Working Professional,"50,000-1,00,000",Never,Gym,General fitness,Lack of time,Non-vegetarian,None,Order food frequently,Lack of consistency,Rarely,Highly unpredictable,30-60 mins,No,AI workout plan,₹999+,"All-in-one solution, Convenience, Personalization",Very unlikely,Normal,1,6-10,Busy schedule,Never used any,₹2000+,Performance/strength,Full control (cook myself),2,0,0.0,2,1,4,0,1,4,1,0,0,0,0,0,0,1,0,1,1
1041,gym_enthusiast,35-44,Tier 1,Working Professional,"50,000-1,00,000",5+ times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Mix of both,No time to cook,Rarely,Somewhat structured,30-60 mins,Yes,"AI workout plan, Diet planning, Form correction via video",₹999+,"Expert guidance, All-in-one solution, Proven results",Likely,Overweight,4,20+,Travel,No results,₹2000+,Looking good (aesthetics),Very limited control (hostel/mess),2,3,0.0,1,1,4,3,3,4,1,1,1,0,0,0,1,0,1,0,1
1042,family_health_seeker,35-44,Tier 2,Retired,"50,000-1,00,000",1-2 times/week,Home,General fitness,Lack of time,Vegetarian,None,Mix of both,Don't know what to eat,Rarely,Very structured,30-60 mins,No,"Calorie tracking via photo, Allergy-specific diets, Diet planning",₹499-₹999,"Personalization, Expert guidance",Neutral,Overweight,3,20+,Social events,Never used any,₹999,Health concerns,Very limited control (hostel/mess),2,1,0.0,0,1,3,2,3,3,0,0,1,1,0,1,0,1,1,0,0
1043,young_professional,18-24,Tier 3 / Rural,Working Professional,"50,000-1,00,000",5+ times/week,Home,Not sure,Lack of time,Non-vegetarian,None,Hostel/mess food,Cravings,Occasionally,Somewhat structured,30-60 mins,Yes,"AI workout plan, Allergy-specific diets",₹999+,"Proven results, Convenience, Personalization",Neutral,Normal,4,0-5,Never started properly,Not personalized,₹2000+,Mental well-being,Partial control,2,3,1.0,1,1,4,2,0,4,1,0,0,0,0,1,1,1,0,1,0
1044,gym_enthusiast,18-24,Metro,Student,"20,000-50,000",5+ times/week,Outdoors,General fitness,Lack of motivation,Eggetarian,None,Home-cooked,Lack of consistency,Occasionally,Very structured,30-60 mins,Yes,"Calorie tracking via photo, Form correction via video",₹999+,"Personalization, Proven results, Expert guidance",Neutral,Overweight,2,20+,Social events,Not personalized,₹2000+,Performance/strength,Partial control,1,3,1.0,0,1,4,2,3,4,0,1,0,1,0,0,1,1,1,0,0
1045,family_health_seeker,45-54,Tier 3 / Rural,Working Professional,"50,000-1,00,000",1-2 times/week,Home,Medical/rehabilitation,Lack of time,Vegan,Gluten intolerance,Mix of both,Lack of consistency,Occasionally,Highly unpredictable,30-60 mins,Yes,"Travel-friendly plans, Calorie tracking via photo",₹499-₹999,"Personalization, Expert guidance, Proven results",Neutral,Overweight,3,20+,Don't see results,No results,₹2000+,Mental well-being,Partial control,2,1,1.0,2,1,3,2,3,4,0,0,0,1,1,0,1,1,1,0,0
1046,gym_enthusiast,25-34,Tier 2,Student,"20,000-50,000",5+ times/week,Gym,Muscle gain,No proper diet,Eggetarian,None,Home-cooked,Lack of consistency,Occasionally,Very structured,90+ mins,Yes,Form correction via video,₹499-₹999,"Convenience, Proven results",Very likely,Normal,5,0-5,Busy schedule,Lost motivation,₹2000+,Health concerns,Partial control,1,3,1.0,0,3,3,4,0,4,0,1,0,0,0,0,1,0,0,1,0
1047,young_professional,25-34,Tier 1,Working Professional,"1,00,000-2,00,000",5+ times/week,Home,Weight loss,No proper diet,Eggetarian,Lactose intolerance,Mix of both,Budget constraints,Occasionally,Very structured,30-60 mins,Yes,"Allergy-specific diets, AI workout plan",₹999+,Expert guidance,Very likely,Obese,5,11-20,Busy schedule,Not personalized,₹2000+,Social pressure,Full control (cook myself),3,3,1.0,0,1,4,4,2,4,1,0,0,0,0,1,0,0,1,0,0
1048,student_hostel,18-24,Tier 1,Working Professional,"<20,000",3-4 times/week,Gym,Muscle gain,Lack of motivation,Non-vegetarian,None,Hostel/mess food,Budget constraints,Occasionally,Highly unpredictable,<30 mins,No,"Form correction via video, AI workout plan",₹99-₹199,Personalization,Very unlikely,Overweight,1,6-10,Never started properly,Never used any,₹199,Performance/strength,Partial control,0,2,1.0,2,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
1049,family_health_seeker,35-44,Tier 2,Business Owner,"20,000-50,000",3-4 times/week,Home,Weight loss,Lack of time,Vegan,Other,Home-cooked,No time to cook,Rarely,Somewhat structured,30-60 mins,No,"Diet planning, Allergy-specific diets",₹499-₹999,"Expert guidance, Personalization",Neutral,Normal,2,11-20,Never started properly,Never used any,₹499,Health concerns,Partial control,1,2,0.0,1,1,3,2,2,2,0,0,1,0,0,1,0,1,1,0,0
1050,student_hostel,18-24,Tier 2,Working Professional,"<20,000",3-4 times/week,Gym,Muscle gain,Lack of motivation,Non-vegetarian,None,Hostel/mess food,Budget constraints,Rarely,Somewhat structured,30-60 mins,No,"Diet planning, AI workout plan",₹199-₹499,"Convenience, All-in-one solution",Neutral,Underweight,5,20+,Don't see results,Never used any,₹999,Looking good (aesthetics),Very limited control (hostel/mess),0,2,0.0,1,1,2,2,3,3,1,0,1,0,0,0,0,0,0,1,1
1051,family_health_seeker,35-44,Tier 1,Working Professional,"<20,000",5+ times/week,Outdoors,Weight loss,Lack of knowledge,Non-vegetarian,None,Home-cooked,Lack of consistency,Rarely,Very structured,30-60 mins,No,"AI workout plan, Travel-friendly plans, Allergy-specific diets",₹199-₹499,Personalization,Neutral,Obese,4,0-5,Social events,Never used any,₹2000+,Mental well-being,Full control (cook myself),0,3,0.0,0,1,2,2,0,4,1,0,0,0,1,1,0,1,0,0,0
1052,gym_enthusiast,35-44,Tier 1,Retired,"50,000-1,00,000",3-4 times/week,Gym,General fitness,No access to gym,Non-vegetarian,None,Home-cooked,Budget constraints,Rarely,Somewhat structured,90+ mins,Yes,"Calorie tracking via photo, AI workout plan",₹499-₹999,"Expert guidance, Personalization, All-in-one solution",Neutral,Overweight,2,20+,Lack of motivation,Not personalized,₹2000+,Performance/strength,Full control (cook myself),2,2,0.0,1,3,3,2,3,4,1,0,0,1,0,0,0,1,1,0,1
1053,older_active,45-54,Tier 3 / Rural,Homemaker,"<20,000",1-2 times/week,Home,General fitness,Lack of time,Vegetarian,None,Home-cooked,Don't know what to eat,Occasionally,Highly unpredictable,60-90 mins,Yes,"Form correction via video, AI workout plan, Calorie tracking via photo",₹99-₹199,Convenience,Very unlikely,Underweight,1,6-10,Never started properly,Too expensive,₹199,Health concerns,Full control (cook myself),0,1,1.0,2,2,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0
1054,family_health_seeker,35-44,Metro,Working Professional,"50,000-1,00,000",Never,I don't work out,General fitness,Lack of knowledge,Non-vegetarian,Other,Home-cooked,Lack of consistency,Occasionally,Highly unpredictable,30-60 mins,Yes,"Allergy-specific diets, Diet planning",₹499-₹999,"Personalization, Proven results",Unlikely,Normal,3,20+,Social events,No results,₹2000+,Social pressure,Full control (cook myself),2,0,1.0,2,1,3,1,3,4,0,0,1,0,0,1,1,1,0,0,0
1055,older_active,55+,Tier 3 / Rural,Working Professional,"20,000-50,000",3-4 times/week,Outdoors,General fitness,Lack of motivation,Vegetarian,Nut allergies,Mix of both,Lack of consistency,Occasionally,Very structured,<30 mins,No,Form correction via video,₹199-₹499,"Proven results, All-in-one solution",Likely,Normal,5,11-20,Don't see results,Never used any,₹499,Health concerns,Partial control,1,2,1.0,0,0,2,3,2,2,0,1,0,0,0,0,1,0,0,0,1
1056,young_professional,25-34,Tier 3 / Rural,Business Owner,"50,000-1,00,000",3-4 times/week,Home,General fitness,No proper diet,Non-vegetarian,Other,Mix of both,Cravings,Rarely,Somewhat structured,30-60 mins,Yes,"Allergy-specific diets, AI workout plan, Form correction via video",₹999+,"Proven results, Convenience",Likely,Normal,5,6-10,Busy schedule,Not personalized,₹2000+,Health concerns,Partial control,2,2,0.0,1,1,4,3,1,4,1,1,0,0,0,1,1,0,0,1,0
1057,family_health_seeker,25-34,Tier 1,Working Professional,"20,000-50,000",1-2 times/week,Home,General fitness,Lack of time,Vegetarian,Other,Mix of both,Budget constraints,Rarely,Very structured,30-60 mins,No,"Form correction via video, Allergy-specific diets, Diet planning",₹199-₹499,"All-in-one solution, Personalization",Very unlikely,Overweight,1,11-20,Never started properly,Never used any,₹999,Health concerns,Very limited control (hostel/mess),1,1,0.0,0,1,2,0,2,3,0,1,1,0,0,1,0,1,0,0,1
1058,young_professional,25-34,Metro,Working Professional,"20,000-50,000",5+ times/week,Home,Not sure,Lack of time,Non-vegetarian,None,Home-cooked,Lack of consistency,Occasionally,Somewhat structured,30-60 mins,Yes,"Diet planning, Calorie tracking via photo, Travel-friendly plans",₹499-₹999,"All-in-one solution, Personalization, Proven results",Likely,Overweight,5,11-20,Busy schedule,Lost motivation,₹2000+,Looking good (aesthetics),Full control (cook myself),1,3,1.0,1,1,3,3,2,4,0,0,1,1,1,0,1,1,0,0,1
1059,young_professional,18-24,Tier 1,Homemaker,"<20,000",5+ times/week,Outdoors,Muscle gain,No proper diet,Vegetarian,None,Order food frequently,Cravings,,Somewhat structured,30-60 mins,Yes,Calorie tracking via photo,₹199-₹499,"Convenience, All-in-one solution",Very likely,Overweight,5,0-5,Travel,Too complicated,₹499,Mental well-being,Full control (cook myself),0,3,,1,1,2,4,0,2,0,0,0,1,0,0,0,0,0,1,1
1060,gym_enthusiast,25-34,Metro,Working Professional,"20,000-50,000",3-4 times/week,Gym,Muscle gain,No access to gym,Non-vegetarian,None,Hostel/mess food,Budget constraints,Rarely,Very structured,30-60 mins,No,"Travel-friendly plans, AI workout plan",₹199-₹499,"Expert guidance, Proven results, Convenience",Unlikely,Normal,4,20+,Busy schedule,Never used any,₹499,Performance/strength,Full control (cook myself),1,2,0.0,0,1,2,1,3,2,1,0,0,0,1,0,1,0,1,1,0
1061,family_health_seeker,25-34,Tier 2,Working Professional,"20,000-50,000",3-4 times/week,Gym,General fitness,Lack of knowledge,Non-vegetarian,None,Mix of both,Cravings,Rarely,Very structured,60-90 mins,No,"Calorie tracking via photo, Form correction via video, Diet planning",₹199-₹499,"Expert guidance, Personalization",Neutral,Overweight,3,0-5,Busy schedule,Never used any,₹999,Health concerns,Full control (cook myself),1,2,0.0,0,2,2,2,0,3,0,1,1,1,0,0,0,1,1,0,0
1062,older_active,45-54,Tier 3 / Rural,Business Owner,"20,000-50,000",5+ times/week,Outdoors,Weight loss,No access to gym,Vegetarian,Nut allergies,Home-cooked,Don't know what to eat,Rarely,Highly unpredictable,30-60 mins,No,"Diet planning, Allergy-specific diets, Form correction via video",₹999+,"Personalization, All-in-one solution, Proven results",Neutral,Overweight,4,0-5,Busy schedule,Never used any,₹2000+,Health concerns,Partial control,1,3,0.0,2,1,4,2,0,4,0,1,1,0,0,1,1,1,0,0,1
1063,family_health_seeker,45-54,Tier 2,Working Professional,"<20,000",Never,I don't work out,Not sure,Lack of motivation,Eggetarian,None,Home-cooked,Don't know what to eat,Rarely,Highly unpredictable,30-60 mins,No,"Allergy-specific diets, Diet planning, AI workout plan",₹99-₹199,"Expert guidance, Proven results, Personalization",Unlikely,Obese,3,20+,Busy schedule,Never used any,₹499,Mental well-being,Partial control,0,0,0.0,2,1,1,1,3,2,1,0,1,0,0,1,1,1,1,0,0
1064,young_professional,25-34,Metro,Student,"20,000-50,000",3-4 times/week,Gym,Not sure,Lack of motivation,Eggetarian,None,Hostel/mess food,Lack of consistency,Rarely,Very structured,60-90 mins,Yes,"AI workout plan, Calorie tracking via photo",₹99-₹199,Convenience,Likely,Underweight,3,0-5,Busy schedule,No results,₹499,Performance/strength,Partial control,1,2,0.0,0,2,1,3,0,2,1,0,0,1,0,0,0,0,0,1,0
1065,young_professional,25-34,Tier 2,Working Professional,"<20,000",3-4 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Mix of both,Budget constraints,Occasionally,Somewhat structured,30-60 mins,Yes,"Form correction via video, Calorie tracking via photo, Diet planning",₹499-₹999,"Personalization, Proven results",Likely,Underweight,5,6-10,Travel,Too complicated,₹2000+,Looking good (aesthetics),Very limited control (hostel/mess),0,2,1.0,1,1,3,3,1,4,0,1,1,1,0,0,1,1,0,0,0
1066,busy_traveler,25-34,Tier 2,Working Professional,"20,000-50,000",1-2 times/week,Home,Muscle gain,No proper diet,Non-vegetarian,None,Order food frequently,No time to cook,Frequently,Highly unpredictable,<30 mins,Yes,"Form correction via video, AI workout plan",₹499-₹999,"Convenience, Proven results",Neutral,Obese,3,6-10,Busy schedule,Not personalized,₹2000+,Looking good (aesthetics),Full control (cook myself),1,1,2.0,2,0,3,2,1,4,1,1,0,0,0,0,1,0,0,1,0
1067,young_professional,25-34,Tier 3 / Rural,Working Professional,"20,000-50,000",3-4 times/week,Gym,General fitness,Lack of time,Non-vegetarian,,Mix of both,No time to cook,Frequently,Somewhat structured,30-60 mins,No,"AI workout plan, Form correction via video",₹499-₹999,All-in-one solution,Neutral,Overweight,3,20+,Busy schedule,Never used any,₹999,Mental well-being,Full control (cook myself),1,2,2.0,1,1,3,2,3,3,1,1,0,0,0,0,0,0,0,0,1
1068,student_hostel,18-24,Metro,Student,"<20,000",3-4 times/week,Gym,General fitness,Lack of knowledge,Non-vegetarian,None,Hostel/mess food,Lack of consistency,Occasionally,Highly unpredictable,90+ mins,No,"Diet planning, Calorie tracking via photo, Travel-friendly plans",₹99-₹199,"All-in-one solution, Convenience, Personalization",Unlikely,Normal,2,6-10,Never started properly,Never used any,₹999,Health concerns,Partial control,0,2,1.0,2,3,1,1,1,3,0,0,1,1,1,0,0,1,0,1,1
1069,young_professional,25-34,Metro,Working Professional,"20,000-50,000",1-2 times/week,Gym,General fitness,Lack of time,Non-vegetarian,Nut allergies,Mix of both,Cravings,Occasionally,Highly unpredictable,30-60 mins,No,"Allergy-specific diets, Travel-friendly plans, Diet planning",₹199-₹499,"Expert guidance, All-in-one solution",Very unlikely,Underweight,1,0-5,Don't see results,Never used any,₹2000+,Performance/strength,Partial control,1,1,1.0,2,1,2,0,0,4,0,0,1,0,1,1,0,0,1,0,1
1070,young_professional,25-34,Metro,Working Professional,"20,000-50,000",3-4 times/week,Gym,Weight loss,Lack of time,Non-vegetarian,None,Mix of both,Lack of consistency,Frequently,Highly unpredictable,30-60 mins,Yes,Calorie tracking via photo,₹199-₹499,"Convenience, Proven results",Neutral,Overweight,2,20+,Travel,Too expensive,₹999,Mental well-being,Partial control,1,2,2.0,2,1,2,2,3,3,0,0,0,1,0,0,1,0,0,1,0
1071,young_professional,25-34,Tier 2,Working Professional,"1,00,000-2,00,000",3-4 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,Gluten intolerance,Mix of both,Lack of consistency,Occasionally,Highly unpredictable,30-60 mins,Yes,Allergy-specific diets,₹999+,"Personalization, Proven results",Likely,Overweight,3,20+,Busy schedule,Not personalized,₹2000+,Looking good (aesthetics),Partial control,3,2,1.0,2,1,4,3,3,4,0,0,0,0,0,1,1,1,0,0,0
1072,young_professional,25-34,Metro,Working Professional,"50,000-1,00,000",1-2 times/week,Home,Not sure,Lack of time,Vegetarian,None,Order food frequently,No time to cook,Occasionally,Highly unpredictable,<30 mins,Yes,"Diet planning, AI workout plan, Form correction via video",₹199-₹499,,Neutral,Overweight,2,0-5,Social events,Too complicated,₹999,Mental well-being,Full control (cook myself),2,1,1.0,2,0,2,2,0,3,1,1,1,0,0,0,0,0,0,0,0
1073,student_hostel,25-34,Tier 2,Student,"<20,000",1-2 times/week,Gym,Weight loss,Lack of time,Non-vegetarian,None,Home-cooked,Cravings,Rarely,Highly unpredictable,60-90 mins,Yes,"Form correction via video, Diet planning, AI workout plan",₹99-₹199,"All-in-one solution, Proven results",Neutral,Normal,4,6-10,Lack of motivation,Lost motivation,₹499,Mental well-being,Full control (cook myself),0,1,0.0,2,2,1,2,1,2,1,1,1,0,0,0,1,0,0,0,1
1074,student_hostel,18-24,Tier 1,Student,"<20,000",5+ times/week,Outdoors,Not sure,Lack of knowledge,Non-vegetarian,Lactose intolerance,Hostel/mess food,Lack of consistency,Rarely,Highly unpredictable,30-60 mins,Yes,"Calorie tracking via photo, Allergy-specific diets, Diet planning",₹499-₹999,"Personalization, Convenience, Proven results",Neutral,Overweight,3,11-20,Lack of motivation,Lost motivation,₹999,Looking good (aesthetics),Very limited control (hostel/mess),0,3,0.0,2,1,3,2,2,3,0,0,1,1,0,1,1,1,0,1,0
1075,older_active,55+,Tier 2,Working Professional,"20,000-50,000",Never,I don't work out,General fitness,Lack of motivation,Eggetarian,Other,Home-cooked,Don't know what to eat,Rarely,Highly unpredictable,<30 mins,No,"Diet planning, Allergy-specific diets",₹199-₹499,"Proven results, Expert guidance",Unlikely,Underweight,3,6-10,Lack of motivation,Never used any,₹499,Health concerns,Full control (cook myself),1,0,0.0,2,0,2,1,1,2,0,0,1,0,0,1,1,0,1,0,0
1076,young_professional,35-44,Tier 2,Working Professional,"20,000-50,000",5+ times/week,Home,Weight loss,Lack of time,Non-vegetarian,None,Home-cooked,Lack of consistency,Rarely,Somewhat structured,<30 mins,Yes,"AI workout plan, Calorie tracking via photo",₹499-₹999,"Proven results, All-in-one solution",Likely,Overweight,4,6-10,Don't see results,Too complicated,₹2000+,Mental well-being,Partial control,1,3,0.0,1,0,3,3,1,4,1,0,0,1,0,0,1,0,0,0,1
1077,young_professional,25-34,Tier 1,Working Professional,"1,00,000-2,00,000",3-4 times/week,Home,Weight loss,No proper diet,Non-vegetarian,None,Mix of both,Lack of consistency,Occasionally,Highly unpredictable,60-90 mins,No,"AI workout plan, Form correction via video, Diet planning",₹499-₹999,"All-in-one solution, Convenience",Neutral,Overweight,4,0-5,Travel,Never used any,₹2000+,Health concerns,Partial control,3,2,1.0,2,2,3,2,0,4,1,1,1,0,0,0,0,0,0,1,1
1078,busy_traveler,25-34,Tier 1,Working Professional,"1,00,000-2,00,000",1-2 times/week,Outdoors,Not sure,Lack of motivation,Non-vegetarian,Gluten intolerance,Order food frequently,No time to cook,Frequently,Highly unpredictable,30-60 mins,No,Diet planning,₹999+,"Convenience, All-in-one solution",Likely,Normal,4,6-10,Busy schedule,Never used any,₹2000+,Looking good (aesthetics),Partial control,3,1,2.0,2,1,4,3,1,4,0,0,1,0,0,0,0,0,0,1,1
1079,student_hostel,18-24,Tier 1,Student,"<20,000",1-2 times/week,Home,Muscle gain,No proper diet,Non-vegetarian,None,Hostel/mess food,Budget constraints,Rarely,Somewhat structured,60-90 mins,No,"AI workout plan, Calorie tracking via photo",₹199-₹499,"Personalization, Convenience",Likely,Normal,3,6-10,Lack of motivation,Never used any,₹499,Social pressure,Very limited control (hostel/mess),0,1,0.0,1,2,2,3,1,2,1,0,0,1,0,0,0,1,0,1,0
1080,older_active,55+,Tier 3 / Rural,Retired,"50,000-1,00,000",1-2 times/week,Home,Medical/rehabilitation,Lack of time,Eggetarian,None,Home-cooked,Budget constraints,Rarely,Somewhat structured,30-60 mins,No,"Form correction via video, Allergy-specific diets",₹999+,,Likely,Normal,5,20+,Busy schedule,Never used any,₹2000+,Health concerns,Full control (cook myself),2,1,0.0,1,1,4,3,3,4,0,1,0,0,0,1,0,0,0,0,0
1081,family_health_seeker,35-44,Tier 1,Retired,"50,000-1,00,000",Never,I don't work out,Weight loss,No proper diet,Eggetarian,None,Home-cooked,Budget constraints,Rarely,Highly unpredictable,<30 mins,No,"Allergy-specific diets, Travel-friendly plans",₹99-₹199,Proven results,Neutral,Normal,3,0-5,Don't see results,Never used any,₹499,Health concerns,Full control (cook myself),2,0,0.0,2,0,1,2,0,2,0,0,0,0,1,1,1,0,0,0,0
1082,student_hostel,18-24,Tier 1,Student,"<20,000",3-4 times/week,Gym,Weight loss,No access to gym,Eggetarian,None,Hostel/mess food,No time to cook,Rarely,Somewhat structured,90+ mins,No,AI workout plan,₹99-₹199,"Convenience, Personalization",Unlikely,Underweight,3,0-5,Travel,Never used any,₹199,Health concerns,Partial control,0,2,0.0,1,3,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0
1083,young_professional,25-34,Tier 3 / Rural,Working Professional,"<20,000",5+ times/week,Gym,General fitness,Lack of time,Non-vegetarian,,Order food frequently,Lack of consistency,Frequently,Very structured,30-60 mins,Yes,"Travel-friendly plans, AI workout plan, Form correction via video",₹499-₹999,,Likely,Normal,5,6-10,Busy schedule,,₹2000+,Looking good (aesthetics),Partial control,0,3,2.0,0,1,3,3,1,4,1,1,0,0,1,0,0,0,0,0,0
1084,family_health_seeker,35-44,Tier 2,Homemaker,"20,000-50,000",3-4 times/week,Home,General fitness,Lack of knowledge,Vegetarian,None,Home-cooked,Cravings,Frequently,Somewhat structured,<30 mins,No,"Travel-friendly plans, Diet planning",₹199-₹499,"All-in-one solution, Convenience, Expert guidance",Neutral,Overweight,3,0-5,Don't see results,Never used any,₹999,Mental well-being,Partial control,1,2,2.0,1,0,2,2,0,3,0,0,1,0,1,0,0,0,1,1,1
1085,older_active,55+,Tier 1,Retired,"20,000-50,000",5+ times/week,Home,General fitness,No proper diet,Eggetarian,Other,Mix of both,No time to cook,Rarely,Highly unpredictable,60-90 mins,No,"Form correction via video, Allergy-specific diets, Diet planning",₹499-₹999,"Proven results, Personalization, All-in-one solution",Unlikely,Underweight,3,6-10,Don't see results,Never used any,₹999,Health concerns,Full control (cook myself),1,3,0.0,2,2,3,1,1,3,0,1,1,0,0,1,1,1,0,0,1
1086,young_professional,18-24,Tier 2,Working Professional,"50,000-1,00,000",3-4 times/week,Home,Weight loss,No access to gym,Non-vegetarian,None,Mix of both,Lack of consistency,Frequently,Somewhat structured,30-60 mins,No,"Travel-friendly plans, AI workout plan, Diet planning",₹499-₹999,"Personalization, All-in-one solution",Unlikely,Normal,3,11-20,Busy schedule,Never used any,₹2000+,Performance/strength,Partial control,2,2,2.0,1,1,3,1,2,4,1,0,1,0,1,0,0,1,0,0,1
1087,gym_enthusiast,18-24,Metro,Working Professional,"20,000-50,000",5+ times/week,Gym,Weight loss,No access to gym,Vegetarian,None,Home-cooked,No time to cook,Occasionally,Somewhat structured,60-90 mins,Yes,"Diet planning, Travel-friendly plans, Form correction via video",₹999+,"Expert guidance, Personalization",Neutral,Underweight,4,20+,Busy schedule,Not personalized,₹2000+,Performance/strength,Partial control,1,3,1.0,1,2,4,2,3,4,0,1,1,0,1,0,0,1,1,0,0
1088,student_hostel,25-34,Tier 2,Student,"<20,000",1-2 times/week,Gym,General fitness,Lack of knowledge,Non-vegetarian,Lactose intolerance,Hostel/mess food,Lack of consistency,Rarely,Highly unpredictable,<30 mins,Yes,"Diet planning, Allergy-specific diets",₹199-₹499,"All-in-one solution, Convenience",Neutral,Underweight,2,20+,Busy schedule,Lost motivation,₹999,Looking good (aesthetics),Very limited control (hostel/mess),0,1,0.0,2,0,2,2,3,3,0,0,1,0,0,1,0,0,0,1,1
1089,older_active,55+,Tier 2,Homemaker,"1,00,000-2,00,000",3-4 times/week,Home,General fitness,Lack of motivation,Vegan,Other,Home-cooked,Don't know what to eat,Frequently,Very structured,90+ mins,No,"AI workout plan, Travel-friendly plans, Form correction via video",₹999+,Personalization,Unlikely,Normal,3,6-10,Don't see results,Never used any,₹2000+,Health concerns,Full control (cook myself),3,2,2.0,0,3,4,1,1,4,1,1,0,0,1,0,0,1,0,0,0
1090,young_professional,25-34,Tier 1,Working Professional,"20,000-50,000",1-2 times/week,Home,General fitness,No access to gym,Vegetarian,None,Order food frequently,No time to cook,Occasionally,Highly unpredictable,30-60 mins,Yes,"Calorie tracking via photo, Form correction via video",₹499-₹999,"Proven results, Personalization",Likely,Normal,5,6-10,Don't see results,Lost motivation,₹2000+,Mental well-being,Very limited control (hostel/mess),1,1,1.0,2,1,3,3,1,4,0,1,0,1,0,0,1,1,0,0,0
